UniqueID,lat,long,Classified
280,36.19568268,-77.4159561,65
281,36.19406403,-77.54316088,65
282,36.13504782,-77.56310198,65
283,36.29997659,-77.27905278,63
284,36.23449024,-77.23351198,63
285,36.22829208,-77.18688762,63
286,36.20295993,-77.11439156,63
287,36.30374899,-77.09714376,63
288,36.17493002,-76.59804103,63
289,36.13019632,-76.57244133,63
290,36.38109656,-76.49132137,63
291,35.90004874,-88.03377579,71
292,35.96796085,-85.17928671,68
293,35.83644858,-80.50275097,45
294,36.10459216,-78.68150249,45
295,36.07360141,-78.48639007,45
296,36.03533341,-78.62464004,45
297,35.96149069,-78.23656893,45
298,36.10135931,-78.11718096,45
299,36.07575961,-78.00614934,45
300,36.07387342,-78.18940502,45
301,35.99383255,-77.84661162,65
302,36.03452631,-77.47174392,65
303,36.01593186,-77.62346929,65
304,35.87121173,-77.59975133,65
305,36.08680927,-77.36286605,63
306,36.07117566,-77.18742717,63
307,35.92376224,-77.36771755,63
308,35.90543533,-77.25668593,63
309,35.85611767,-77.28255764,63
310,36.07845291,-76.94838369,63
311,36.04557596,-76.84840172,63
312,35.96822839,-76.90418953,63
313,36.06066556,-76.55707973,63
314,35.90085584,-76.57540218,63
315,35.6521138,-88.15369885,65
316,35.81974033,-85.25097568,68
317,35.71625351,-85.32805124,68
318,35.77311597,-80.48253787,45
319,35.69415421,-80.15375497,45
320,35.6243559,-80.22516747,45
321,35.61492044,-80.27664333,45
322,35.76529916,-79.31266149,45
323,35.76098721,-79.3784154,45
324,35.61330624,-79.31885964,45
325,35.56344904,-79.32694399,45
326,35.77715591,-79.20216943,45
327,35.72891736,-79.20189742,45
328,35.58581589,-79.21133288,45
329,35.69927325,-78.85074767,45
330,35.68310455,-78.88065932,45
331,35.6596586,-79.00570589,45
332,35.64591565,-78.98576479,45
333,35.64483655,-78.86125777,45
334,35.57207294,-78.96285839,45
335,35.59767264,-78.71492345,65
336,35.6577724,-78.17808782,65
337,35.73322931,-77.71644601,65
338,35.69604041,-77.74447146,65
339,35.66100525,-77.7601006,65
340,35.59012784,-77.67628734,65
341,35.77095776,-77.61322673,65
342,35.69226801,-77.56067623,65
343,35.55994418,-77.55178478,65
344,35.76557117,-77.3186719,63
345,35.77796747,-76.87723873,63
346,35.68418366,-77.07019741,63
347,35.59659799,-76.85594652,63
348,35.73835282,-76.78965307,63
349,35.36348511,-88.88510736,65
350,35.33868805,-88.51724936,65
351,35.49607648,-88.25583902,65
352,35.3421929,-86.12683231,71
353,35.29018195,-85.81125281,68
354,35.53515158,-85.55523352,68
355,35.42600616,-85.20489087,68
356,35.41549606,-85.26633282,68
357,35.35917316,-85.26498617,68
358,35.37237656,-84.62601483,67
359,35.28775619,-84.70497659,67
360,35.48987833,-80.45073556,45
361,35.343,-80.24996453,45
362,35.39393631,-79.99475234,45
363,35.49904178,-79.84491317,45
364,35.44056067,-79.7198666,45
365,35.44163531,-79.44013381,45
366,35.43624872,-79.50211532,45
367,35.42654572,-79.45980291,45
368,35.40929791,-79.46869881,45
369,35.30095959,-79.3565881,65
370,35.50281418,-79.07038515,45
371,35.49203207,-79.26765578,45
372,35.46292752,-78.99842864,45
373,35.53677023,-77.85011202,65
374,35.48502683,-77.12921361,63
375,35.42492706,-77.09849486,63
376,35.38450531,-76.88936748,63
377,35.36833661,-77.0451328,63
378,35.35728696,-77.06345971,63
379,35.29691965,-76.97182964,63
380,35.29152859,-76.73494435,63
381,35.28182559,-76.73683055,63
382,35.01260291,-88.7754224,65
383,35.12040167,-88.48167466,65
384,35.10827292,-88.46793171,65
385,35.0085585,-88.67705909,65
386,35.15678348,-88.14210965,65
387,35.09776282,-88.19843702,65
388,35.21499258,-88.02487988,71
389,35.27508789,-87.67858164,71
